,correlation
cargo_atual.id_ibrati,0.08921320693777024
codigo_vaga,0.039629199267398614
perfil_vaga.local_trabalho,0.03283944575404683
formacao_e_idiomas.ano_conclusao,-0.023328621543780785
codigo_applicant,-0.034699144475914434
infos_basicas.codigo_profissional,-0.05139288669605787
cv_en,
infos_basicas.telefone_recado,
informacoes_pessoais.cpf,
informacoes_pessoais.email_secundario,
informacoes_pessoais.telefone_recado,
informacoes_pessoais.skype,
informacoes_pessoais.url_linkedin,
informacoes_pessoais.facebook,
informacoes_profissionais.qualificacoes,
informacoes_profissionais.experiencias,
cargo_atual.email_corporativo,
cargo_atual.projeto_atual,
cargo_atual.nome_superior_imediato,
cargo_atual.email_superior_imediato,
